id,page number,product name,price,reviews,avg_rate,brand,desc,image
1,1,NIVEA MEN Cool Kick Roll On Anti-Perspirant For Men - 50 Ml,جنيه 26.00,‎ 122 ‎ تقييمات موثقة للمنتج,جنيه 26.00,NIVEA MEN,"NIVEA MEN Cool Kick Deodorant for Men instantly offers me a great feeling of vitalizing freshness while it protects me reliably all day long.

The mild Cool-Care formula vitalizes the body pleasantly and regulates transpiration effectively. NIVEA MEN Cool Kick,Deodorant for Men has a stimulating scent which provides long-lasting fresh feeling.

At NIVEA weve got a vast selection of soaps, shower gels, bath additives, deodorants, creams, lotions, milks and a lot more. If youre looking for products to help improve the healthy look or glow of your skin, weve got you covered! Take a look now and discover the ideal NIVEA product for your needs and preferences. We have products for both men and women including shaving items and deodorants for all of your personal hygiene requirements.

NIVEA MEN, it starts with you!",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/742622/1.jpg?8347
2,1,American Eagle Low Cut Socks 5-Pack - Charcoal,جنيه 175.00,‎ 161 ‎ تقييمات موثقة للمنتج,جنيه 175.00,American Eagle,"تقدم أمريكان إيجل منذ عام 1977 مجموعة متنوعة من الملابس والإكسسوارات المتخصصة للرجال والنساء والتي تعبر عن الذات وتمكن عملائنا من الاحتفال بأناقتهم المتميزة عن غيرهم والتعبير عن ذاتهم. أكدت العلامة التجارية ريادتها في مجال الجينز من خلال إنتاج أقمشة مبتكرة مع خيارات لجميع الأنماط وتناسب كل الاذواق باسعار مناسبة. هدفنا الأساسي ليس تصنيع الملابس وحسب، بل هو بناء علاقات حقيقية مع الأشخاص الذين يرتدون ملابسنا.
Since 1977, American Eagle has offered an assortment of specialty apparel and accessories for men and women that enables self-expression and empowers our customers to celebrate their individuality. The brand has broadened its leadership in jeans by producing innovative fabric with options for all styles and fits for all at a value. We aren’t just passionate about making great clothing, we’re passionate about making real connections with the people who wear them.",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/032412/1.jpg?5112
3,1,AM-Shop Bundle Of (10) Basic Socks Sign - High Quality,جنيه 64.00,‎ 919 ‎ تقييمات موثقة للمنتج,جنيه 64.00,AM-Shop,"ShopAM- هي علامة تجارية للأزياء متعدده المنتجات نمت في السوق المحلي بشكل كبير علي مدار اعوام من النجاح.
Shop AM- تمتلك قدر كبير من المنتجات المهمه للأحتياجات اليوميه لكل أفراد الأسره التي تشمل :-
( أسكارف - أندروير - شرابات )
(هدفنا أفضل جوده بأقل سعر)
----------------------",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/055412/1.jpg?8747
4,1,Bonjorno 2in1 Coffee Mix Khamsina – 12 Sachet,جنيه 15.50,‎ 42 ‎ تقييمات موثقة للمنتج,جنيه 15.50,Bonjorno,"Grocery to your Doorstep!
If you're too busy to get to the grocery store, there are many ways for the grocery store to come to you! We are offering different food bundles providing all your everyday basics essentials to be shipped right to you. We are Saving your time, stress, gas money, and exposing you to new types of foods and brands that you can't get at your local grocery store.",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/28/242232/1.jpg?5718
5,1,Elmatbakh مكرونة شعرية,جنيه 6.00,‎ 242 ‎ تقييمات موثقة للمنتج,جنيه 6.00,Elmatbakh,"Grocery to your Doorstep!
If you're too busy to get to the grocery store, there are many ways for the grocery store to come to you! We are offering different food bundles providing all your everyday basics essentials to be shipped right to you. We are Saving your time, stress, gas money, and exposing you to new types of foods and brands that you can't get at your local grocery store.",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/54/260512/1.jpg?5563
6,1,"NIVEA MEN Fresh Power, Antiperspirant for Men, Fresh Scent, Roll-on 50ml",جنيه 28.00,‎ 188 ‎ تقييمات موثقة للمنتج,جنيه 28.00,NIVEA,"NIVEA MEN Fresh Active Antiperspirant Deodorant is a unique formula that provides all-day natural freshness and long-lasting protection.

Gentle formula with reliable antiperspirant protection and infused with ocean extracts, NIVEA MEN Fresh Active Antiperspirant Deodorant gives your skin an instant feeling of freshness while protecting you from sweat and body odour for 48hours.

At NIVEA weve got a vast selection of soaps, shower gels, bath additives, deodorants, creams, lotions, milks and a lot more. If youre looking for products to help improve the healthy look or glow of your skin, weve got you covered! Take a look now and discover the ideal NIVEA product for your needs and preferences. We have products for both men and women including shaving items and deodorants for all of your personal hygiene requirements.

NIVEA MEN, it starts with you!",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/00/842622/1.jpg?2798
7,1,Dice 5 بوكسرات رجالي دايس,جنيه 219.99,‎ 971 ‎ تقييمات موثقة للمنتج,جنيه 219.99,Dice,"لا يمكن استبدال أو إرجاع هذا المنتج
تعتبر شركة دايس من أكبر شركات العلامة التجارية للملابسالداخليه والأزياء ومن أكبر شركات التوزيع ‏‏,‏‏ ويعتبر العميل هو أساسالشركة لعملنا الفريد من حيث تصميم المنتجات والمبيعات
متوفر بعدد كبير من الموديلات منها - الملابس الداخليه -والملابس البيتي والتيشرتات - ترنج رجالي - شورت رجالي- جوارب – بوكسر ،البكيني والميدي و الهوت شورت و التوب  وحماله الصدر و لانجيري و بيجامه ومنتجات تخسيس",https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/496561/1.jpg?4348
8,1,Ariel Liquid clean and fresh detergent 3.3 Kilogram,جنيه 143.00,‎ 33 ‎ تقييمات موثقة للمنتج,جنيه 143.00,Ariel,اريال جل الجديد ينظف بشكل أفضل من أي جل ويترك ألوانك مشرقة كأنه جديد. تعمل تقنية التنظيف الفائقة من اريال على إزالة أصعب البقع مع الحفاظ على القماش.,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/16/098852/1.jpg?3953
9,1,NIVEA كريم سوفت لترطيب البشرة - 100 مل,جنيه 21.95,‎ 516 ‎ تقييمات موثقة للمنتج,جنيه 21.95,NIVEA,كريم مرطب فعال للغاية يترك بشرتك ناعمة ونضرة. ويتكون من فيتامين E المغذي وزيت الجوجوبا، وهو ناعم وخفيف وسريع الإمتصاص مما يعمل على تنشيط بشرتك. كما أنه مناسب لجميع أنواع البشرة وتم اختباره طبياَ ويمكن استخدامه على الوجه والجسم واليدين. طريقة الاستخدام: قم بتدليك الكريم على بشرة نظيفة وجافة على حسب الحاجة طوال اليوم. نيفيا مائة عام من منتجات العناية بالبشرة.,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/987712/1.jpg?0457
10,1,NIVEA MEN مزيل العرق Invisible Black & White - للرجال - 150 مل,جنيه 46.00,‎ 880 ‎ تقييمات موثقة للمنتج,جنيه 46.00,NIVEA MEN,مزيل العرق نيفيا Invisible Black & White يعطيك حماية تدوم لمدة 48 ساعة، لا يترك أى علامات على الملابس البيضاء أو السوداء ولا يسبب ظهور بقع صفراء على الملابس مما يضمن لك عدم تغيير للون الملابس الأبيض يظل أبيض والأسود يظل أسود لفترة طويلة للتمتع بلحظات سعيدة وحماية أكيدة.,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/28/887712/1.jpg?0618
